name,exchange,ins_type,stfp,ltfp,ctfp,lenght,start_time,end_time,trade,stop_limit
NIFTY21OCT,NSE,FUT,2,4,10,22,9:16:00,15:12:00,FALSE,0
CRUDEOIL21OCT,MCX,FUT,6,10,20,16,15:35:00,23:20:00,TRUE,0
BANKNIFTY21OCT,NSE,FUT,2,4,10,21,9:46:00,15:12:00,TRUE,0
ABCAPITAL,NSE,EQ,1,3,5,16,9:16:00,15:12:00,FALSE,0
ABFRL,NSE,EQ,1,3,5,16,9:16:00,15:14:00,FALSE,0
AMBUJACEM,NSE,EQ,2,4,10,16,9:16:00,15:14:00,FALSE,0
APOLLOTYRE,NSE,EQ,2,4,10,16,9:16:00,15:14:00,FALSE,0
AXISBANK,NSE,EQ,1,3,6,16,9:16:00,15:14:00,FALSE,0
BIOCON,NSE,EQ,1,3,6,16,9:16:00,15:14:00,FALSE,0
CADILAHC,NSE,EQ,2,3,6,16,9:16:00,15:14:00,FALSE,0
CIPLA,NSE,EQ,1,3,6,16,9:16:00,15:14:00,FALSE,0
CUB,NSE,EQ,2,4,6,16,9:16:00,15:14:00,FALSE,0
COALINDIA,NSE,EQ,2,4,6,16,9:16:00,15:14:00,FALSE,0
DABUR,NSE,EQ,2,4,6,16,9:16:00,15:14:00,FALSE,0
DLF,NSE,EQ,2,4,6,16,9:16:00,15:14:00,FALSE,0
EXIDEIND,NSE,EQ,2,4,7,16,9:16:00,15:14:00,FALSE,0
HCLTECH,NSE,EQ,2,4,7,16,9:16:00,15:14:00,FALSE,0
HDFCBANK,NSE,EQ,2,4,7,16,9:16:00,15:14:00,FALSE,0
HEROMOTOCO,NSE,EQ,2,4,7,16,9:16:00,15:14:00,FALSE,0
HINDALCO,NSE,EQ,2,4,7,16,9:16:00,15:14:00,FALSE,0
ICICIBANK,NSE,EQ,2,4,7,16,9:16:00,15:14:00,FALSE,0
IGL,NSE,EQ,2,4,7,16,9:16:00,15:14:00,FALSE,0
INDIACEM,NSE,EQ,2,4,7,16,9:16:00,15:14:00,FALSE,0
INOXLEISUR,NSE,EQ,2,4,7,16,9:16:00,15:14:00,FALSE,0
ITC,NSE,EQ,2,4,7,16,9:16:00,15:14:00,FALSE,0
JINDALSTEL,NSE,EQ,1,2,5,16,9:16:00,15:14:00,FALSE,0
JSWSTEEL,NSE,EQ,1,2,5,16,9:16:00,15:14:00,FALSE,0
KOTAKBANK,NSE,EQ,1,2,5,16,9:16:00,15:14:00,FALSE,0
M&M,NSE,EQ,1,2,5,16,9:16:00,15:14:00,FALSE,0
MARICO,NSE,EQ,1,2,5,16,9:16:00,15:14:00,FALSE,0
MFSL,NSE,EQ,1,2,5,16,9:16:00,15:14:00,FALSE,0
NTPC,NSE,EQ,1,2,5,16,9:16:00,15:14:00,FALSE,0
POWERGRID,NSE,EQ,1,2,5,16,9:16:00,15:14:00,FALSE,0
RBLBANK,NSE,EQ,1,2,5,16,9:16:00,15:14:00,FALSE,0
RELIANCE,NSE,EQ,1,2,5,16,9:16:00,15:14:00,FALSE,0
SBIN,NSE,EQ,2,3,6,16,9:16:00,15:14:00,FALSE,0
SUNPHARMA,NSE,EQ,2,3,6,16,9:16:00,15:14:00,FALSE,0
SUNTV,NSE,EQ,2,3,6,16,9:16:00,15:14:00,FALSE,0
TATACONSUM,NSE,EQ,2,3,6,16,9:16:00,15:14:00,FALSE,0
TATAMOTORS,NSE,EQ,2,3,6,16,9:16:00,15:14:00,FALSE,0
TATAPOWER,NSE,EQ,2,3,6,16,9:16:00,15:14:00,FALSE,0
TATASTEEL,NSE,EQ,2,3,6,16,9:16:00,15:14:00,FALSE,0
TITAN,NSE,EQ,2,3,6,16,9:16:00,15:14:00,FALSE,0
TVSMOTOR,NSE,EQ,2,3,6,16,9:16:00,15:14:00,FALSE,0
WIPRO,NSE,EQ,2,3,6,16,9:16:00,10:23:00,FALSE,0
ZEEL,NSE,EQ,2,3,6,16,9:16:00,15:14:00,FALSE,0
